,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],,False,True,
588941139,1,[CH2],,False,True,
1745124488,2,[CH],,False,True,
3241453017,3,[OH],,False,True,
2024190808,4,[CH2][CH2][CH2],1.0087506681384242,True,True,-0.6507072926412422
3585449278,5,[CH3][CH2][CH2][CH2],0.002497385650117824,True,True,0.06217325604616836
1761756884,6,[CH3][CH2][CH2],,False,True,
86881846,7,[CH2][CH2][CH],-0.42617558362718627,True,True,-0.31221891235988675
1764182346,8,[CH2][CH2][CH2][CH2][CH2],0.9215450669922056,True,True,-0.7569212259332243
633478272,9,[CH2][OH],,False,True,
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,True,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,True,
2756096705,12,[CH2][CH]([OH])[CH2][OH],-0.08082582463796083,True,True,-0.00936422861545477
1798560833,13,[CH][CH2][OH],-0.04444747447156375,True,True,-0.05937776681026945
2332023200,14,[CH][OH],,False,True,
2230853995,15,[CH3][CH2][CH2][CH2][CH2],,False,True,
99608249,16,[CH2][CH]([CH2])[OH],-0.19715710367664727,True,True,-0.05220272441920759
4127301570,17,[CH3][CH2],,False,True,
346836004,18,[CH2][CH2][CH2][CH2][CH],-0.29540054895544426,True,True,-0.11168712587785423
3289258337,19,[CH2][CH2][OH],0.15917580024852787,True,True,0.10037999416739575
4201881788,20,[O],,False,True,
3398511450,21,[CH2][CH2][O],,False,True,
3341742393,22,[CH2][CH2][CH2][CH2][O],,False,True,
2266582708,23,[CH2][O][CH2][CH2][OH],-0.48167206075117813,True,True,-0.25965577344060836
3833245231,24,[O][CH2][CH2][OH],-0.48167206075117813,True,True,-0.25965577344060836
860008211,25,[CH2][O][CH2][CH2][O],0.00371083927183902,True,True,-0.013679634387772477
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],,False,True,
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
268480129,31,[N][CH2][CH2][OH],,False,False,
2126038938,32,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,False,
2841381149,33,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O],,False,False,
