,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],,False,True,
588941139,1,[CH2],0.08787231518744168,True,True,-0.052663761756584826
1745124488,2,[CH],,False,True,
3241453017,3,[OH],,False,True,
2024190808,4,[CH2][CH2][CH2],0.9692236397776086,True,True,-0.6226361483632931
3585449278,5,[CH3][CH2][CH2][CH2],,False,True,
1761756884,6,[CH3][CH2][CH2],,False,True,
86881846,7,[CH2][CH2][CH],-0.44268812213788444,True,True,-0.2902063133467287
1764182346,8,[CH2][CH2][CH2][CH2][CH2],0.8511124469074476,True,True,-0.7062760115832334
633478272,9,[CH2][OH],-0.015340508955668837,True,True,-0.04155924648561349
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,True,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,True,
2756096705,12,[CH2][CH]([OH])[CH2][OH],-0.45331603447456964,True,True,-0.04902504755588427
1798560833,13,[CH][CH2][OH],,False,True,
2332023200,14,[CH][OH],,False,True,
2230853995,15,[CH3][CH2][CH2][CH2][CH2],-0.0313005757301448,False,True,-0.1475523290255234
99608249,16,[CH2][CH]([CH2])[OH],-0.004035547268023537,True,True,-0.0009945867526696545
4127301570,17,[CH3][CH2],-0.0022097998685165,False,True,0.0601739500346401
346836004,18,[CH2][CH2][CH2][CH2][CH],-0.16818447627232638,True,True,-0.058902186080841384
3289258337,19,[CH2][CH2][OH],,False,True,
4201881788,20,[O],,False,True,
3398511450,21,[CH2][CH2][O],,False,True,
3341742393,22,[CH2][CH2][CH2][CH2][O],,False,True,
2266582708,23,[CH2][O][CH2][CH2][OH],-0.23129736545781676,True,True,-0.12064299048730431
3833245231,24,[O][CH2][CH2][OH],-0.23129736545781676,True,True,-0.12064299048730431
860008211,25,[CH2][O][CH2][CH2][O],,False,True,
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],-0.1284306797423495,True,True,-0.04239659150278241
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
268480129,31,[N][CH2][CH2][OH],,False,False,
2126038938,32,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,False,
