no,smiles,exp,traintest,pred,type,err,Molecules,cluster
0,CCCCCCCCC(O)CO,3.361727836,train,3.284244,nonionic,0.0060037354631995,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DAEA0>,0
1,CCCCCCCCC(O)CCO,3.361727836,train,3.2403183,nonionic,0.0147402758348529,<rdkit.Chem.rdchem.Mol object at 0x000001BED60D8A50>,0
2,CCCCCCCCCCCCC(O)CCO,1.113943352,train,1.1944386,nonionic,0.0064794811992303,<rdkit.Chem.rdchem.Mol object at 0x000001BED60D8820>,0
3,CCCCCCCCOCCO,3.69019608,train,3.6691136,nonionic,0.0004444694443028,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DB680>,16
4,CCCCCCCCOCCOCCOCCO,3.875061263,train,3.8572426,nonionic,0.0003175053131613,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBD10>,16
5,CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827,train,3.953247,nonionic,0.000111107551545,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DB3E0>,16
6,CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195,train,3.9586515,nonionic,0.0013677905401416,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DAAB0>,16
7,CCCCCCCCCCOCCOCCOCCOCCO,2.8325089130000003,train,2.697473,nonionic,0.0182346845219838,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBB50>,16
8,CCCCCCCCCCOCCOCCOCCOCCOCCO,2.880813592,test,2.8376794,nonionic,0.0018605597152663,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DA880>,16
9,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.954242509,train,2.9921823,nonionic,0.0014394243107054,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBC30>,16
10,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.0,train,2.9464297,nonionic,0.0028697738855498,<rdkit.Chem.rdchem.Mol object at 0x000001BED60D8740>,16
11,CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255,train,2.4155352,nonionic,0.0037928407462104,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DA650>,16
12,CCCCCCCCCCCCOCCOCCO,1.51851394,train,1.5692351,nonionic,0.0025726346962934,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBDF0>,16
13,CCCCCCCCCCCCOCCOCCOCCO,1.716003344,train,1.6006217,nonionic,0.0133129237059447,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DBED0>,16
14,CCCCCCCCCCCCOCCOCCOCCOCCO,1.806179974,test,1.6461127,nonionic,0.025621538469166,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DA9D0>,16
15,CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.806179974,train,1.7074666,nonionic,0.0097443297473599,<rdkit.Chem.rdchem.Mol object at 0x000001BED60DB5A0>,16
16,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852,train,1.911649,nonionic,4.686633004834184e-06,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF5000>,16
17,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.0374264980000003,train,1.9000925,nonionic,0.0188606317949973,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF4890>,16
18,CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.69019608,train,1.0863496,nonionic,0.3646305635415062,<rdkit.Chem.rdchem.Mol object at 0x000001BED5EF5B60>,16
