,fingerprint_index,SMILES,weight,selected,above_threshold_occurence,norm_weight,above_threshold_occurance
1562328517,0,[CH3],,False,,,True
2327569918,1,[CH2],0.2311286437669222,True,,-0.13489048948684834,True
1601422510,2,[CH],,False,,,True
1384807378,3,[OH],,False,,,True
2590655816,4,[CH3][CH2],,False,,,True
3612856161,5,[CH3][CH2][CH2],,False,,,True
4029379886,6,[CH2][CH2][CH2],0.7640039428516571,True,,-0.4848944584524241,True
1276182380,7,[CH2][CH2][CH],-0.31793091328237477,True,,-0.22440977545260393,True
1202638763,8,[CH2][CH]([CH2])[OH],-0.2619401443373336,True,,-0.044275965494179836,True
2951080420,9,[CH][OH],,False,,,True
3805832141,10,[CH][CH2][OH],,False,,,True
799491322,11,[CH2][OH],-0.03084508448996536,True,,-0.08323173265535368,True
3283844714,12,[CH3][CH2][CH2][CH2],0.0005801894524419868,True,,0.016603963887991263,True
385120156,13,[CH3][CH2][CH2][CH2][CH2],,False,,,True
1574479333,14,[CH2][CH2][CH2][CH2][CH2],0.7932605848281453,True,,-0.6193454570505834,True
2710357938,15,[CH2][CH2][CH2][CH2][CH],,False,,,True
578328089,16,[CH2][CH2][CH2][CH]([CH2])[OH],,False,,,True
3092176364,17,[CH2][CH2][CH]([OH])[CH2][OH],,False,,,False
801467784,18,[CH2][CH]([OH])[CH2][OH],,False,,,True
1654312659,19,[CH2][CH2][OH],-0.08491671789101164,True,,-0.05118531469725518,True
3295517592,20,[CH2][CH2][CH]([OH])[CH2][CH2],,False,,,True
506738808,21,[CH2][CH]([OH])[CH2][CH2][OH],,False,,,True
4190410062,22,[CH][CH2][CH2][OH],,False,,,True
2234426345,23,[O],,False,,,True
1172731036,24,[CH2][CH2][O],,False,,,True
3084789070,25,[CH2][O][CH2],,False,,,True
439219589,26,[CH2][CH2][CH2][CH2][O],,False,,,True
3899239722,27,[CH2][CH2][O][CH2][CH2],,False,,,True
1637092228,28,[CH2][O][CH2][CH2][OH],-0.0813549985409975,True,,-0.04278652234575896,True
1113958265,29,[O][CH2][CH2][OH],-0.0813549985409975,True,,-0.04278652234575896,True
2674925467,30,[C],,False,,,True
2458493159,31,[O],,False,,,True
272970254,32,[N],-0.13922869834608834,True,,-0.04496342873400894,True
2063681763,33,[C][CH2][CH2],,False,,,True
2967134434,34,[CH2][C]([N])=[O],,False,,,True
1352712914,35,[C]=[O],,False,,,True
3427180722,36,[C][N]([CH2])[CH2],,False,,,False
2753223836,37,[CH2][CH2][N],-0.032689141099285696,True,,-0.009111617000414851,True
365859906,38,[C][CH2][CH2][CH2][CH2],,False,,,True
4052032810,39,[CH2][CH2][CH2][C]([N])=[O],,False,,,True
3557641287,40,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,,,False
2546678617,41,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O],,False,,,False
891929166,42,[C][N]([CH2])[CH2][CH2][OH],,False,,,False
1103433085,43,[N][CH2][CH2][OH],,False,,,False
3117297370,44,[S],,False,,,True
4270019529,45,[C],-0.01850126251513224,True,,-0.0475955905782091,True
748993029,46,[F],-0.00803129910323396,True,,-0.07128965964996724,True
4267936983,47,[CH2][CH2][S],,False,,,True
409271570,48,[CH2][S][CH2],,False,,,True
3640497695,49,[CH2][CH2][C],,False,,,True
1001005300,50,[CH2][C]([C])([F])[F],,False,,,True
356939628,51,[C][F],-0.00803129910323396,True,,-0.07128965964996724,True
1968395370,52,[C][C]([C])([F])[F],-0.027001743051195425,True,,-0.033165792984443124,True
3140242350,53,[C][C]([F])([F])[F],,False,,,True
270656494,54,[CH2][O][CH2][CH2][S],-0.2656195217312682,True,,-0.06442219672494495,True
