,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],0.0403064141931481,True,True,-0.08865478608674732
588941139,1,[CH2],-0.05860540482596297,True,True,0.035685654564691444
1745124488,2,[CH],,False,True,
3241453017,3,[OH],,False,True,
2024190808,4,[CH2][CH2][CH2],0.9066960008520597,True,True,-0.6409557262759646
3585449278,5,[CH3][CH2][CH2][CH2],,False,True,
1761756884,6,[CH3][CH2][CH2],,False,True,
86881846,7,[CH2][CH2][CH],-0.2654795676864651,True,True,-0.18752683798382555
1764182346,8,[CH2][CH2][CH2][CH2][CH2],0.8237322990184973,True,True,-0.7841505385620262
633478272,9,[CH2][OH],,False,True,
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,True,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,True,
2756096705,12,[CH2][CH]([OH])[CH2][OH],,False,True,
1798560833,13,[CH][CH2][OH],,False,True,
2332023200,14,[CH][OH],,False,True,
2230853995,15,[CH3][CH2][CH2][CH2][CH2],,False,True,
99608249,16,[CH2][CH]([CH2])[OH],,False,True,
4127301570,17,[CH3][CH2],0.01631245449564139,True,True,0.06513643854333356
346836004,18,[CH2][CH2][CH2][CH2][CH],,False,True,
3289258337,19,[CH2][CH2][OH],0.010622877205123013,True,True,0.009750209909150404
4201881788,20,[O],,False,True,
3398511450,21,[CH2][CH2][O],,False,True,
3341742393,22,[CH2][CH2][CH2][CH2][O],,False,True,
2266582708,23,[CH2][O][CH2][CH2][OH],-0.04956975214697014,True,True,-0.038564603194194996
3833245231,24,[O][CH2][CH2][OH],-0.04956975214697014,True,True,-0.038564603194194996
860008211,25,[CH2][O][CH2][CH2][O],,False,True,
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],,False,True,
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
268480129,31,[N][CH2][CH2][OH],,False,False,
2126038938,32,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,False,
2841381149,33,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O],,False,False,
2472413237,34,[CH2][C]([N])=[O],,False,True,
1055599604,35,[CH2][CH2][N],,False,True,
3515192951,36,[CH2][CH2][CH2][C]([N])=[O],,False,True,
3488509092,37,[C]=[O],,False,True,
608848338,38,[C][CH2][CH2][CH2][CH2],,False,True,
902542272,39,[C][CH2][CH2],,False,True,
71236097,40,[S],-0.40216860236156426,True,True,-0.1447972460525776
1435798937,41,[C],-0.1044558746962252,True,True,-0.2238727394653234
158835249,42,[F],,False,True,
3020298062,43,[C][C]([F])([F])[C]([F])([F])[C]([C])([F])[F],,False,True,
1031152895,44,[CH2][S][CH2],,False,True,
3234848093,45,[C][F],,False,True,
3836159906,46,[CH2][S][CH2][CH2][O],,False,True,
1408766665,47,[CH2][CH2][C]([F])([F])[C]([C])([F])[F],,False,True,
1890015520,48,[CH2][CH2][C],,False,True,
