,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],0.060192520881319274,True,True,-0.13162520530400212
588941139,1,[CH2],-0.09285377916480851,True,True,0.053594189386043434
1745124488,2,[CH],,False,True,
3241453017,3,[OH],,False,True,
2024190808,4,[CH2][CH2][CH2],0.9748983722454939,True,True,-0.7155035778343692
3585449278,5,[CH3][CH2][CH2][CH2],0.008090120501574788,True,True,0.025148074050633795
1761756884,6,[CH3][CH2][CH2],0.014469542941154956,True,True,0.05064340029404235
86881846,7,[CH2][CH2][CH],-0.3662076986769612,True,True,-0.3069506534017047
1764182346,8,[CH2][CH2][CH2][CH2][CH2],0.7909822178125303,True,True,-0.7842505500928384
633478272,9,[CH2][OH],,False,True,
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,True,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,True,
2756096705,12,[CH2][CH]([OH])[CH2][OH],,False,True,
1798560833,13,[CH][CH2][OH],,False,True,
2332023200,14,[CH][OH],,False,True,
2230853995,15,[CH3][CH2][CH2][CH2][CH2],,False,True,
99608249,16,[CH2][CH]([CH2])[OH],,False,True,
4127301570,17,[CH3][CH2],-0.004767366291203423,True,True,-0.018856502507371975
346836004,18,[CH2][CH2][CH2][CH2][CH],,False,True,
3289258337,19,[CH2][CH2][OH],0.07851668158411156,True,True,0.06353203425878184
4201881788,20,[O],,False,True,
3398511450,21,[CH2][CH2][O],,False,True,
3341742393,22,[CH2][CH2][CH2][CH2][O],,False,True,
2266582708,23,[CH2][O][CH2][CH2][OH],-0.14841228670985293,True,True,-0.10867913505324367
3833245231,24,[O][CH2][CH2][OH],-0.14841228670985293,True,True,-0.10867913505324367
860008211,25,[CH2][O][CH2][CH2][O],,False,True,
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],,False,True,
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
