,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],,False,True,
588941139,1,[CH2],0.6469992862791024,True,True,-0.3552756255878379
1745124488,2,[CH],,False,True,
3241453017,3,[OH],0.12939303628378454,True,True,-0.2947023152771668
2024190808,4,[CH2][CH2][CH2],0.8428442278085317,True,True,-0.5390155258561049
3585449278,5,[CH3][CH2][CH2][CH2],0.0008008915802608044,True,True,0.04181543833806836
1761756884,6,[CH3][CH2][CH2],,False,True,
86881846,7,[CH2][CH2][CH],-0.4168289410602643,True,True,-0.3169339330281576
1764182346,8,[CH2][CH2][CH2][CH2][CH2],0.8170896454963384,True,True,-0.6668161060155929
633478272,9,[CH2][OH],-0.03149510131924187,True,True,-0.09053575497647692
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,False,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,False,
2756096705,12,[CH2][CH]([OH])[CH2][OH],,False,False,
1798560833,13,[CH][CH2][OH],,False,True,
2332023200,14,[CH][OH],,False,True,
2230853995,15,[CH3][CH2][CH2][CH2][CH2],,False,True,
99608249,16,[CH2][CH]([CH2])[OH],-0.2864279974281154,True,True,-0.06509239169783798
4127301570,17,[CH3][CH2],,False,True,
346836004,18,[CH2][CH2][CH2][CH2][CH],-0.38422750435217484,True,True,-0.13403531365443055
3289258337,19,[CH2][CH2][OH],,False,True,
4201881788,20,[O],-0.017622745551474008,True,True,0.05003192358738784
3398511450,21,[CH2][CH2][O],-0.0166474900623027,True,True,0.04479252676300194
3341742393,22,[CH2][CH2][CH2][CH2][O],0.012191096876602222,True,True,-0.05247423562076059
2266582708,23,[CH2][O][CH2][CH2][OH],-0.38201395823634243,True,True,-0.19572391109785736
3833245231,24,[O][CH2][CH2][OH],-0.38201395823634243,True,True,-0.19572391109785736
860008211,25,[CH2][O][CH2][CH2][O],-0.03511364440871786,True,True,0.14339812816272884
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],,False,True,
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
268480129,31,[N][CH2][CH2][OH],,False,False,
2126038938,32,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,False,
2841381149,33,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O],,False,False,
2472413237,34,[CH2][C]([N])=[O],0.013878972298841446,True,True,0.0024283143061702844
1055599604,35,[CH2][CH2][N],-0.002739250491940891,True,True,-0.0006884074646036353
