,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],,False,True,
588941139,1,[CH2],0.37702038255784226,True,True,-0.24264494092003397
1745124488,2,[CH],-0.012125574084096345,True,True,0.019131124204533223
3241453017,3,[OH],,False,True,
2024190808,4,[CH2][CH2][CH2],0.9594382146750213,True,True,-0.6968498412397234
3585449278,5,[CH3][CH2][CH2][CH2],,False,True,
1761756884,6,[CH3][CH2][CH2],0.007272052611811267,True,True,0.033292978584086086
86881846,7,[CH2][CH2][CH],-0.15978871274714082,True,True,-0.08473908576160483
1764182346,8,[CH2][CH2][CH2][CH2][CH2],0.803027090732944,True,True,-0.7889675325472179
633478272,9,[CH2][OH],,False,True,
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,False,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,False,
2756096705,12,[CH2][CH]([OH])[CH2][OH],,False,False,
1798560833,13,[CH][CH2][OH],,False,True,
2332023200,14,[CH][OH],-0.011224399095398229,True,True,0.02093308661155291
2230853995,15,[CH3][CH2][CH2][CH2][CH2],0.0014485323614811222,True,True,0.0034818384689927484
99608249,16,[CH2][CH]([CH2])[OH],0.022302159803295925,True,True,0.006615532165017757
4127301570,17,[CH3][CH2],0.007272052611811267,True,True,0.033292978584086086
346836004,18,[CH2][CH2][CH2][CH2][CH],-0.3233808002006047,True,True,-0.07354630558891762
3289258337,19,[CH2][CH2][OH],0.025212033272597602,True,True,0.02314086964365547
4201881788,20,[O],-0.04827076123606326,True,True,0.08093870231378475
3398511450,21,[CH2][CH2][O],-0.04033062367225183,True,True,0.07483862820592391
3341742393,22,[CH2][CH2][CH2][CH2][O],-0.03354385950133387,True,True,0.07112251039916595
2266582708,23,[CH2][O][CH2][CH2][OH],,False,True,
3833245231,24,[O][CH2][CH2][OH],,False,True,
860008211,25,[CH2][O][CH2][CH2][O],-0.0332099396625267,True,True,0.08157163054623084
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],,False,True,
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
268480129,31,[N][CH2][CH2][OH],,False,False,
2126038938,32,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,False,
2841381149,33,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O],,False,False,
2472413237,34,[CH2][C]([N])=[O],0.09262765890189775,True,True,0.027677806983803954
1055599604,35,[CH2][CH2][N],,False,True,
3515192951,36,[CH2][CH2][CH2][C]([N])=[O],0.09262765890189775,True,True,0.027677806983803954
3488509092,37,[C]=[O],,False,True,
608848338,38,[C][CH2][CH2][CH2][CH2],,False,True,
902542272,39,[C][CH2][CH2],0.022673313987607833,True,True,0.012947374677407364
71236097,40,[S],,False,True,
1435798937,41,[C],-0.022164304675392973,True,True,-0.044787985447586554
158835249,42,[F],-0.0031812462584961242,True,True,-0.012835523923669712
3020298062,43,[C][C]([F])([F])[C]([F])([F])[C]([C])([F])[F],-0.033675763964939875,True,True,-0.0128355239236706
1031152895,44,[CH2][S][CH2],,False,True,
3234848093,45,[C][F],-0.0031812462584961242,True,True,-0.012835523923669712
3836159906,46,[CH2][S][CH2][CH2][O],-0.033675763964939875,True,True,-0.0128355239236706
1408766665,47,[CH2][CH2][C]([F])([F])[C]([C])([F])[F],-0.06971473943619132,True,True,-0.0128355239236706
1890015520,48,[CH2][CH2][C],-0.06971473943619132,True,True,-0.0128355239236706
2731847728,49,[C][C]([F])([F])[CH2][CH2][S],-0.06971473943619132,True,True,-0.0128355239236706
1056111820,50,[C][C]([F])([F])[F],-0.06971473943619132,True,True,-0.0128355239236706
501170475,51,[C][C]([C])([F])[F],-0.01565627622931415,True,True,-0.0128355239236706
1777126915,52,[C][CH2][CH2][S][CH2],-0.06971473943619132,True,True,-0.0128355239236706
2607452139,53,[C][C]([F])([F])[C]([F])([F])[F],-0.06971473943619132,True,True,-0.0128355239236706
1105352298,54,[C][C]([F])([F])[C]([F])([F])[C]([F])([F])[F],-0.06971473943619132,True,True,-0.0128355239236706
1050061363,55,[CH2][C]([C])([F])[F],-0.06971473943619132,True,True,-0.0128355239236706
1642931323,56,[CH2][CH2][S][CH2][CH2],-0.34460792707001153,True,True,-0.1332084550173982
3033121101,57,[CH2][C]([F])([F])[C]([F])([F])[C]([C])([F])[F],-0.06971473943619132,True,True,-0.0128355239236706
3975376304,58,[NH],-0.0171175484613636,True,True,-0.005653740181126743
3252991652,59,[CH2][CH2][NH],,False,True,
