,0
[CH2][CH2][CH2][CH2][CH2],-0.6004913880952423
[CH2][CH2][CH2],-0.5047381527513899
[CH2][CH2][CH],-0.22120038549621596
[CH2],-0.1995147427976965
[O][CH2][CH2][OH],-0.17152406003384826
[Cl-],0.15710958042332507
[Br-],0.15557994925716748
[O],-0.13865606648510437
[C],-0.11253847006814999
[C][CH]([OH])[CH]([OH])[CH]([CH])[OH],-0.09949171068280722
[CH][CH2][CH2][CH2][CH2],-0.08918290602846342
[N],-0.08713356026115472
[CH2][CH2][CH2][CH2][N+],0.08021343315165008
[CH2][OH],-0.07931314900102852
[CH2][CH2][CH2][O][S],0.07556562022026195
[CH2][CH2][CH2][CH2][S],0.07387769784400185
[CH2][CH2][CH2][CH2][O],-0.07329114016790297
[Na+],0.07214894699658111
[c][cH][cH],-0.06886849935196841
[C][F],-0.06808778492219861
