,fingerprint_index,SMILES
408781366,0,[CH3]
588941139,1,[CH2]
1745124488,2,[CH]
3241453017,3,[OH]
4127301570,4,[CH3][CH2]
1983480163,5,[CH3][CH2][CH2]
2024190808,6,[CH2][CH2][CH2]
86881846,7,[CH2][CH2][CH]
576643729,8,[CH2][CH]([CH2])[OH]
3144674441,9,[CH][OH]
1798560833,10,[CH][CH2][OH]
2426331731,11,[CH2][OH]
4282534845,12,[CH3][CH2][CH2][CH2]
573991221,13,[CH3][CH2][CH2][CH2][CH2]
2523760786,14,[CH2][CH2][CH2][CH2][CH2]
3181151816,15,[CH2][CH2][CH2][CH2][CH]
145783782,16,[CH2][CH2][CH2][CH]([CH2])[OH]
3545311273,17,[CH2][CH2][CH]([OH])[CH2][OH]
417839564,18,[CH2][CH]([OH])[CH2][OH]
3289258337,19,[CH2][CH2][OH]
2378425522,20,[CH2][CH2][CH]([OH])[CH2][CH2]
3381796593,21,[CH2][CH]([OH])[CH2][CH2][OH]
2740006184,22,[CH][CH2][CH2][OH]
4201881788,23,[O]
3398511450,24,[CH2][CH2][O]
3904605687,25,[CH2][O][CH2]
3973554185,26,[CH2][CH2][CH2][CH2][O]
2036111385,27,[CH2][CH2][CH2][O][CH2]
1002117761,28,[CH2][CH2][O][CH2][CH2]
3029702872,29,[CH2][O][CH2][CH2][OH]
4078843245,30,[O][CH2][CH2][OH]
851741966,31,[CH2][O][CH2][CH2][O]
621123397,32,[C]
2352303636,33,[O]
3571421935,34,[N]
902542272,35,[C][CH2][CH2]
2885554181,36,[CH2][C]([N])=[O]
4269693325,37,[C]=[O]
2801205690,38,[C][N]([CH2])[CH2]
1055599604,39,[CH2][CH2][N]
916941086,40,[C][CH2][CH2][CH2][CH2]
2612086326,41,[CH2][CH2][CH2][C]([N])=[O]
3908494748,42,[CH2][CH2][C](=[O])[N]([CH2])[CH2]
1760253035,43,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O]
1930391995,44,[C][N]([CH2])[CH2][CH2][OH]
2048987028,45,[N][CH2][CH2][OH]
71236097,46,[S]
1435798937,47,[C]
158835249,48,[F]
231096892,49,[CH2][CH2][S]
1031152895,50,[CH2][S][CH2]
1890015520,51,[CH2][CH2][C]
3593001374,52,[CH2][C]([C])([F])[F]
3234848093,53,[C][F]
3407265256,54,[C][C]([C])([F])[F]
3866641218,55,[C][C]([F])([F])[F]
1309337688,56,[CH2][O][CH2][CH2][S]
257635832,57,[CH2][S][CH2][CH2][O]
1267044541,58,[CH2][CH2][S][CH2][CH2]
2337533156,59,[C][CH2][CH2][S][CH2]
3900381110,60,[C][C]([F])([F])[CH2][CH2][S]
4107221408,61,[CH2][CH2][C]([F])([F])[C]([C])([F])[F]
2527760121,62,[CH2][C]([F])([F])[C]([F])([F])[C]([C])([F])[F]
1098490644,63,[C][C]([F])([F])[C]([F])([F])[C]([C])([F])[F]
1159371851,64,[C][C]([F])([F])[C]([F])([F])[C]([F])([F])[F]
1443725484,65,[C][C]([F])([F])[C]([F])([F])[F]
3975376304,66,[NH]
3252991652,67,[CH2][CH2][NH]
2491857742,68,[C][NH][CH2]
1714769704,69,[CH][C]([NH])=[O]
3222788951,70,[C][CH]([CH])[OH]
2695096831,71,[CH][CH]([CH])[OH]
2923224004,72,[CH][CH]([CH])[O]
1819756045,73,[CH][O][CH]
4117577934,74,[CH][CH]([O])[O]
2214335882,75,[CH2][CH]([CH])[O]
2372085681,76,[CH][CH]([CH2])[OH]
2752912622,77,[CH2][CH2][CH2][CH2][NH]
407570283,78,[C][NH][CH2][CH2][CH2]
4237277584,79,[CH2][CH2][NH][C]([CH])=[O]
2741650686,80,[CH2][NH][C](=[O])[CH]([CH])[OH]
3959565489,81,[CH][CH]([OH])[CH]([OH])[C]([NH])=[O]
3877724712,82,[C][CH]([OH])[CH]([OH])[CH]([CH])[O]
81019485,83,[CH][O][CH]([CH]([CH])[OH])[CH]([CH2])[OH]
1679980461,84,[CH][CH]([CH])[O][CH]([CH])[O]
430947395,85,[CH][O][CH]([O][CH])[CH]([CH])[OH]
1817541692,86,[CH2][CH]([CH])[O][CH]([CH])[O]
3891917854,87,[CH][O][CH]([CH2][OH])[CH]([CH])[OH]
372927762,88,[CH][CH]([O])[CH2][OH]
2927980111,89,[CH2][CH]([O])[CH]([OH])[CH]([CH])[OH]
3206445833,90,[CH][CH]([OH])[CH]([OH])[CH]([CH])[OH]
1303035840,91,[CH][CH]([OH])[CH]([OH])[CH]([O])[O]
2332653798,92,[CH][CH]([O])[CH]([OH])[CH2][OH]
2422962372,93,[CH][CH]([OH])[CH2][OH]
3920599003,94,[c]
3515050116,95,[cH]
2397784371,96,[O]
4261443002,97,[CH3][C]
3263740249,98,[CH3][C]([CH3])([CH3])[CH2]
1838759254,99,[C][CH2][C]
2893991463,100,[c][C]([CH2])([CH3])[CH3]
783474,101,[cH][c]([cH])[C]
3600308116,102,[c][cH][cH]
1387671358,103,[cH][c]([cH])[O]
3131694723,104,[c][O][CH2]
735415753,105,[CH2][CH2][O]
4087921815,106,[C][CH2][C]([CH3])([CH3])[CH3]
2521616730,107,[c][C]([CH3])([CH3])[CH2][C]([CH3])([CH3])[CH3]
2421166944,108,[cH][c]([cH])[C]([CH3])([CH3])[CH2][C]
1275262492,109,[cH][cH][c]([cH][cH])[C]([CH2])([CH3])[CH3]
514539310,110,[c][cH][cH][c]([cH])[C]
769270579,111,[c][cH][cH][c]([cH])[O]
2091061868,112,[cH][cH][c]([cH][cH])[O][CH2]
1550218408,113,[cH][c]([cH])[O][CH2][CH2]
3539367771,114,[c][O][CH2][CH2][O]
1853140583,115,[CH2][O][CH2][CH2][O]
489252890,116,[CH]
660852612,117,[CH][CH2][CH2]
1967043474,118,[CH]=[CH][CH2]
121491154,119,[CH2][C](=[O])[O]
3357693338,120,[C][O][C]
706208664,121,[CH][C]([O])([O])[O]
1178807438,122,[C][O][C]
171252351,123,[CH2][C]([CH])([O])[O]
2009652334,124,[C][CH2][OH]
1888241186,125,[C][O][CH]
1521486428,126,[C][CH]([CH])[OH]
3931992297,127,[CH][CH2][CH2][CH2][CH2]
1342761845,128,[CH2][CH]=[CH][CH2][CH2]
393315971,129,[CH][CH2][CH2][CH2][CH2]
2075690432,130,[CH2][CH2][CH2][C](=[O])[O]
342506161,131,[CH2][CH2][C](=[O])[O][C]
413989,132,[CH2][C](=[O])[O][C]([CH])([O])[O]
642590322,133,[C][O][C]([O][C])([O][CH])[CH]([CH])[OH]
2636515875,134,[CH2][C]([CH])([O])[O][C]([CH])([O])[O]
3326631563,135,[C][O][C]1([CH2][OH])[O][CH][CH][CH]1[OH]
3050258048,136,[CH][C]([O])([O])[CH2][OH]
3928907467,137,[CH2][CH]1[CH][CH][C]([CH2])([O])[O]1
501880765,138,[OH][CH2][CH]1[O][C][CH][CH]1[OH]
3948524823,139,[CH2][CH]1[O][C][CH]([OH])[CH]1[OH]
4070737170,140,[CH2][C]1([O])[O][CH][CH]([OH])[CH]1[OH]
3551923253,141,[CH2][CH]([CH])[O][C]([CH])([O])[O]
4207059025,142,[C][CH]([OH])[CH]([OH])[CH]([CH])[OH]
4044174637,143,[CH][CH]([OH])[CH]([OH])[C]([O])([O])[O]
4149765035,144,[CH2][C]([CH2])=[O]
2499891788,145,[C][CH2][C]
1274380646,146,[CH2][C]([NH])=[O]
2125122410,147,[C][NH][CH]
1185141286,148,[C][CH]([CH2])[NH]
348213010,149,[C][O][CH2]
721223836,150,[CH][C](=[O])[O]
3411060999,151,[CH2][CH2][CH2][C]([CH2])=[O]
1397168408,152,[C][CH2][C](=[O])[CH2][CH2]
1461191437,153,[CH2][C](=[O])[CH2][C]([NH])=[O]
1661468114,154,[C][CH2][C](=[O])[NH][CH]
4269529302,155,[C][CH]([CH2])[NH][C]([CH2])=[O]
602607626,156,[C][NH][CH]1[CH2][CH2][O][C]1=[O]
2931847920,157,[NH][CH]1[C][O][CH2][CH2]1
2299124326,158,[C]1[CH][CH2][CH2][O]1
1306681946,159,[O]=[C]1[CH][CH2][CH2][O]1
3011635797,160,[NH][CH]1[CH2][CH2][O][C]1=[O]
3995584013,161,[CH2][CH2][CH2][C]([NH])=[O]
3048624822,162,[CH2][CH2][C](=[O])[NH][CH]
1705832058,163,[CH][CH2][O]
377214159,164,[CH2][CH2][O][CH2][CH]
3644653999,165,[CH2][O][CH2][CH]([CH2])[OH]
1902895361,166,[O][CH2][CH]([OH])[CH2][OH]
3276440365,167,[CH2][O][CH]
3596705081,168,[CH2][CH2][CH2][O][CH]
3496841128,169,[CH2][CH2][O][CH]([CH])[O]
2435022155,170,[CH2][O][CH]([O][CH])[CH]([CH])[OH]
1787213279,171,[CH3][CH2][CH2][CH2][O]
1370603687,172,[CH2][O][CH2][CH]([CH])[OH]
28852130,173,[CH][CH]([OH])[CH]([OH])[CH2][O]
4077821095,174,[CH2][CH]([OH])[CH]([OH])[CH]([CH2])[OH]
223898928,175,[CH][CH]([OH])[CH]([OH])[CH2][OH]
2229815529,176,[CH][CH2][O]
1484539102,177,[CH2][CH2][C](=[O])[O][CH2]
2390892234,178,[CH][CH2][O][C]([CH2])=[O]
816209877,179,[C][O][CH2][CH]([CH])[OH]
3613431436,180,[CH][CH]([OH])[CH]([OH])[CH2][O]
2197588153,181,[C][CH2][CH2][CH2][CH3]
1884112722,182,[CH][CH2][S]
1743191698,183,[CH3][CH2][CH2][CH2][S]
1618255463,184,[CH2][CH2][S][CH2][CH]
3390522767,185,[CH2][S][CH2][CH]([CH])[OH]
1661692846,186,[CH][CH]([OH])[CH]([OH])[CH2][S]
3552386869,187,[CH2][CH2][CH2][CH2][S]
750899370,188,[CH2][CH]([CH2])[O]
420777578,189,[CH2][CH2][CH2][CH]([CH2])[O]
2283388940,190,[CH2][CH2][CH]([CH2][CH2])[O][CH]
1705320533,191,[CH][CH2][CH2][CH2][CH3]
3183810271,192,[CH2][CH]([CH2])[O][CH]([CH])[O]
196248589,193,[CH][CH2][CH3]
1010966955,194,[CH2][CH2][CH]([CH2][CH3])[O][CH]
1324304228,195,[CH3][CH2][CH]([CH2])[O]
2861614460,196,[CH2][CH]([CH3])[O]
2341116588,197,[CH][CH3]
3168840965,198,[CH2][CH2][CH2][CH]([CH3])[O]
664888003,199,[CH2][CH2][CH]([CH3])[O][CH]
3080629070,200,[CH2][CH]([CH3])[O][CH]([CH])[O]
2907664333,201,[CH3][CH2][CH2][CH]([CH2])[O]
489559798,202,[CH][CH2][CH2][CH3]
1094099305,203,[CH][CH]([O])[OH]
3069659651,204,[C][O][CH2][CH]([CH])[O]
1036062626,205,[CH][O][CH]([CH2][O])[CH]([CH])[OH]
894031831,206,[CH2][CH]([CH])[O][CH]([CH])[O]
3839474996,207,[CH][CH]([CH])[O][CH]([CH])[O]
1143273313,208,[CH][O][CH]([CH]([CH2])[O])[CH]([CH])[OH]
1638457800,209,[CH][O][CH]([CH2][OH])[CH]([CH])[O]
3004744193,210,[CH][CH]([CH2])[O][CH]([CH])[OH]
1059578621,211,[CH][O][CH]([OH])[CH]([CH])[OH]
1532064578,212,[CH][CH]([OH])[CH]([OH])[CH]([O])[OH]
961507039,213,[CH][CH]([O])[CH]([OH])[CH]([CH])[OH]
1359662803,214,[CH][CH]([OH])[CH]([OH])[CH]([O])[O]
1747242661,215,[CH2][CH]([O])[CH]([OH])[CH]([CH])[OH]
2332241438,216,[CH2][CH]([CH2])[S]
1090331025,217,[CH][S][CH2]
2551400646,218,[C][CH2][O]
1610330958,219,[CH2][C]([CH])([CH])[OH]
2376107557,220,[C][OH]
1222285943,221,[CH2][CH2][CH2][CH]([CH2])[S]
3293200936,222,[CH2][CH2][CH]([CH2][CH2])[S][CH2]
1946277337,223,[CH][CH2][CH2][CH2][CH2]
2278128926,224,[CH2][CH2][CH2][CH2][CH3]
3560052814,225,[CH2][CH2][S][CH]([CH2])[CH2]
3570086997,226,[C][CH2][CH2][S][CH]
3570825737,227,[O]=[C]([O])[CH2][CH2][S]
533625574,228,[C][CH2][O][C]([CH2])=[O]
3887521112,229,[C][O][CH2][C]([CH])([CH])[OH]
191217049,230,[O][CH2][C]1([OH])[CH]([OH])[CH][CH][CH]1[OH]
481702088,231,[CH2][C]1([OH])[CH][CH][CH]([OH])[CH]1[OH]
1710673832,232,[OH][CH]1[C][CH][CH]([OH])[CH]1[OH]
547755116,233,[C][N]([CH3])[CH2]
1803341746,234,[CH3][N]
2446782164,235,[CH][CH2][N]
3803011085,236,[CH2][CH2][C](=[O])[N]([CH3])[CH2]
4084507104,237,[CH][CH2][N]([CH3])[C]([CH2])=[O]
2597026646,238,[C][N]([CH3])[CH2][CH]([CH])[OH]
2757078340,239,[CH][CH]([OH])[CH]([OH])[CH2][N]
2724543709,240,[CH2][CH]([OH])[CH]([OH])[CH]([CH])[OH]
4000701299,241,[CH][CH]([OH])[CH]([OH])[CH]([CH2])[OH]
879718925,242,[CH][O][CH]([O][CH2])[CH]([CH])[OH]
1491160736,243,[CH][CH2][O][CH]([CH])[O]
2027753553,244,[CH][O][CH2][CH]([CH])[O]
3944326796,245,[CH][O][CH]([CH2][O])[CH]([CH])[OH]
3820773344,246,[CH][O][CH]([O][C])[CH]([CH])[OH]
2528937029,247,[CH][CH]([O])[O][C]([CH2])([CH])[O]
3669188260,248,[CH][O][C]1([CH2][OH])[O][CH][CH][CH]1[OH]
1441710936,249,[CH][CH]([O])[S]
4276961078,250,[C][O][CH]
2296787730,251,[CH2][CH2][S][CH]([CH])[O]
3012754189,252,[CH2][S][CH]1[O][C][CH][CH]1[OH]
1009112087,253,[O]=[C]1[CH][CH][CH]([S])[O]1
1319129750,254,[O]=[C]1[O][CH][CH][CH]1[OH]
3317694543,255,[O]=[C]1[O][CH][CH]([OH])[CH]1[OH]
3379771296,256,[OH][CH]1[C][O][CH]([S])[CH]1[OH]
2773042746,257,[CH][CH]([CH])[NH]
713929386,258,[CH2][C](=[O])[NH][CH]([CH])[CH]
3645562227,259,[C][NH][CH]([CH]([CH])[OH])[CH]([OH])[O]
3558632260,260,[CH][O][CH]([OH])[CH]([CH])[NH]
1622486702,261,[CH2][CH]([CH])[O][CH]([CH])[OH]
3854088682,262,[CH][CH]([NH])[CH]([OH])[CH]([CH])[OH]
3182230569,263,[CH][CH]([NH])[O]
1252377342,264,[CH2][C](=[O])[NH][CH]([CH])[O]
3286435975,265,[C][NH][CH]([O][CH])[CH]([CH])[OH]
2341381911,266,[CH2][CH]([CH])[O][CH]([CH])[NH]
2859558123,267,[CH][CH]([OH])[CH]([OH])[CH]([NH])[O]
3521674766,268,[CH3][CH]([CH3])[CH2]
3749137461,269,[CH2][CH]([CH3])[CH2]
890303584,270,[CH2][CH2][CH]([CH3])[CH3]
429162176,271,[CH2][CH2][CH2][CH]([CH3])[CH3]
1609620227,272,[CH][CH2][CH2][CH2][CH]
2916065127,273,[CH2][CH2][CH2][CH]([CH3])[CH2]
3443827600,274,[CH2][CH2][CH]([CH3])[CH2][CH2]
3864496752,275,[CH2][CH]([CH3])[CH2][CH2][O]
3451277419,276,[CH][CH2][CH2][O][CH]
3019778459,277,[CH][CH]([OH])[CH]([OH])[CH]([CH])[O]
3491661278,278,[NH2]
2657894680,279,[CH][CH]([CH])[NH2]
3096573822,280,[CH][NH2]
1788512139,281,[CH2][O][CH]([O][CH])[CH]([CH])[NH2]
1196534999,282,[CH][CH]([NH2])[CH]([OH])[CH]([CH])[OH]
