,SMILES,log CMC,traintest,pred,type,err,Molecules,Molecule name,Molecule weight,Average temperature,CMC (M),Convertable,Component 1,Component 2
0,CCCCCCCCC(O)CO,3.361727836,train,3.284244,nonionic,0.0060037354631995,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17060>,,,,,,-0.6649377409324791,-0.10041860346626058
1,CCCCCCCCC(O)CCO,3.361727836,train,3.2403183,nonionic,0.0147402758348529,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15A80>,,,,,,-0.6614604899630604,-0.10095150861961322
2,CCCCCCCCCCCCC(O)CCO,1.113943352,train,1.1944386,nonionic,0.0064794811992303,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A176F0>,,,,,,-0.6371438049667181,-0.09575227435066644
3,CCCCCCCCOCCO,3.69019608,train,3.6691136,nonionic,0.0004444694443028,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17370>,,,,,,-0.6456766724588168,-0.09387926643662446
4,CCCCCCCCOCCOCCOCCO,3.875061263,train,3.8572426,nonionic,0.0003175053131613,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15F50>,,,,,,-0.656497378324164,-0.09707321156740534
5,CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827,train,3.953247,nonionic,0.000111107551545,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16B90>,,,,,,-0.6573128949909747,-0.09573359477213335
6,CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195,train,3.9586515,nonionic,0.0013677905401416,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16E30>,,,,,,-0.6538215663972441,-0.09328231907324788
7,CCCCCCCCCCOCCOCCOCCOCCO,2.8325089130000003,train,2.697473,nonionic,0.0182346845219838,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A16CE0>,,,,,,-0.6628077742001609,-0.10231705464747952
8,CCCCCCCCCCOCCOCCOCCOCCOCCO,2.880813592,test,2.8376794,nonionic,0.0018605597152663,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15310>,,,,,,-0.6621594643940246,-0.1011339109316749
9,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.954242509,train,2.9921823,nonionic,0.0014394243107054,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A17300>,,,,,,-0.6588476023418035,-0.0987222180347374
10,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.0,train,2.9464297,nonionic,0.0028697738855498,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A168F0>,,,,,,-0.6453126766954607,-0.09071679108163598
11,CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255,train,2.4155352,nonionic,0.0037928407462104,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A15690>,,,,,,-0.6429459949762576,-0.09107176837791335
12,CCCCCCCCCCCCOCCOCCO,1.51851394,train,1.5692351,nonionic,0.0025726346962934,<rdkit.Chem.rdchem.Mol object at 0x00000258C9A14270>,,,,,,-0.6452331058924453,-0.0989574462861733
