,Fold,Train RMSE,Initial num features,Final num features,Alpha,Test RMSE
0,0,0.38437350566760514,337,76,10.0,0.3264639097444722
1,1,0.3869201389654292,342,76,10.0,0.3884704579701321
2,2,0.35198173792694737,330,81,10.0,0.4217380428722365
3,3,0.3755768359914628,319,75,10.0,0.40589246415526836
4,4,0.37458246384193084,323,69,10.0,0.49872424903523266
5,5,0.39511346726516827,339,90,10.0,0.7985338499597258
6,6,0.3913565649636534,344,79,1.0,0.44498231908629465
7,7,0.37767282913701,325,70,10.0,0.4375594725915486
8,8,0.3866377219045667,337,74,10.0,0.48674419404781283
9,9,0.29556795070091946,340,53,1.0,0.4720161346590539
